name, i94_code
"MEXICO Air Sea, and Not Reported (I-94, no land arrivals)", 582
AFGHANISTAN, 236
ALBANIA, 101
ALGERIA, 316
ANDORRA, 102
ANGOLA, 324
ANGUILLA, 529
ANTIGUA-BARBUDA, 518
ARGENTINA, 687
ARMENIA, 151
ARUBA, 532
AUSTRALIA, 438
AUSTRIA, 103
AZERBAIJAN, 152
BAHAMAS, 512
BAHRAIN, 298
BANGLADESH, 274
BARBADOS, 513
BELGIUM, 104
BELIZE, 581
BENIN, 386
BERMUDA, 509
BELARUS, 153
BHUTAN, 242
BOLIVIA, 688
"BONAIRE, ST EUSTATIUS, SABA", 717
BOSNIA-HERZEGOVINA, 164
BOTSWANA, 336
BRAZIL, 689
BRITISH VIRGIN ISLANDS, 525
BRUNEI, 217
BULGARIA, 105
BURKINA FASO, 393
BURMA, 243
BURUNDI, 375
CAMEROON, 310
CAPE VERDE, 326
CAYMAN ISLANDS, 526
CENTRAL AFRICAN REPUBLIC, 383
CHAD, 384
CHILE, 690
"CHINA, PRC", 245
CURACAO, 721
CHRISTMAS ISLAND, 270
COCOS ISLANDS, 271
COLOMBIA, 691
COMOROS, 317
CONGO, 385
COOK ISLANDS, 467
COSTA RICA, 575
CROATIA, 165
CUBA, 584
CYPRUS, 218
CZECH REPUBLIC, 140
FAROE ISLANDS (PART OF DENMARK), 723
DENMARK, 108
DJIBOUTI, 322
DOMINICA, 519
DOMINICAN REPUBLIC, 585
EAST TIMOR, 240
ECUADOR, 692
EGYPT, 368
EL SALVADOR, 576
EQUATORIAL GUINEA, 399
ERITREA, 372
ESTONIA, 109
ETHIOPIA, 369
FALKLAND ISLANDS, 604
FIJI, 413
FINLAND, 110
FRANCE, 111
FRENCH GUIANA, 601
FRENCH POLYNESIA, 411
GABON, 387
GAMBIA, 338
GAZA STRIP, 758
GEORGIA, 154
GERMANY, 112
GHANA, 339
GIBRALTAR, 143
GREECE, 113
GRENADA, 520
GUADELOUPE, 507
GUATEMALA, 577
GUINEA, 382
GUINEA-BISSAU, 327
GUYANA, 603
HAITI, 586
HEARD AND MCDONALD IS., 726
HOLY SEE/VATICAN, 149
HONDURAS, 528
HONG KONG, 206
HUNGARY, 114
ICELAND, 115
INDIA, 213
INDIAN OCEAN AREAS (FRENCH), 759
INDIAN OCEAN TERRITORY, 729
INDONESIA, 204
IRAN, 249
IRAQ, 250
IRELAND, 116
ISRAEL, 251
ITALY, 117
IVORY COAST, 388
JAMAICA, 514
JAPAN, 209
JORDAN, 253
KAMPUCHEA, 201
KAZAKHSTAN, 155
KENYA, 340
KIRIBATI, 414
KOSOVO, 732
KUWAIT, 272
KYRGYZSTAN, 156
LAOS, 203
LATVIA, 118
LEBANON, 255
LESOTHO, 335
LIBERIA, 370
LIBYA, 381
LIECHTENSTEIN, 119
LITHUANIA, 120
LUXEMBOURG, 121
MACAU, 214
MACEDONIA, 167
MADAGASCAR, 320
MALAWI, 345
MALAYSIA, 273
MALDIVES, 220
MALI, 392
MALTA, 145
MARSHALL ISLANDS, 472
MARTINIQUE, 511
MAURITANIA, 389
MAURITIUS, 342
MAYOTTE (AFRICA - FRENCH), 760
"MICRONESIA, FED. STATES OF", 473
MOLDOVA, 157
MONACO, 122
MONGOLIA, 299
MONTENEGRO, 735
MONTSERRAT, 521
MOROCCO, 332
MOZAMBIQUE, 329
NAMIBIA, 371
NAURU, 440
NEPAL, 257
NETHERLANDS, 123
NETHERLANDS ANTILLES, 508
NEW CALEDONIA, 409
NEW ZEALAND, 464
NICARAGUA, 579
NIGER, 390
NIGERIA, 343
NIUE, 470
NORTH KOREA, 275
NORWAY, 124
OMAN, 256
PAKISTAN, 258
PALAU, 474
PALESTINE, 743
PANAMA, 504
PAPUA NEW GUINEA, 441
PARAGUAY, 693
PERU, 694
PHILIPPINES, 260
PITCAIRN ISLANDS, 416
POLAND, 107
PORTUGAL, 126
QATAR, 297
REPUBLIC OF SOUTH SUDAN, 748
REUNION, 321
ROMANIA, 127
RUSSIA, 158
RWANDA, 376
SAN MARINO, 128
SAO TOME AND PRINCIPE, 330
SAUDI ARABIA, 261
SENEGAL, 391
SERBIA AND MONTENEGRO, 142
SERBIA, 745
SEYCHELLES, 347
SIERRA LEONE, 348
SINGAPORE, 207
SLOVAKIA, 141
SLOVENIA, 166
SOLOMON ISLANDS, 412
SOMALIA, 397
SOUTH AFRICA, 373
SOUTH KOREA, 276
SPAIN, 129
SRI LANKA, 244
ST. HELENA, 346
ST. KITTS-NEVIS, 522
ST. LUCIA, 523
ST. PIERRE AND MIQUELON, 502
ST. VINCENT-GRENADINES, 524
SAINT BARTHELEMY, 716
SAINT MARTIN, 736
SAINT MAARTEN, 749
SUDAN, 350
SURINAME, 602
SWAZILAND, 351
SWEDEN, 130
SWITZERLAND, 131
SYRIA, 262
TAIWAN, 268
TAJIKISTAN, 159
TANZANIA, 353
THAILAND, 263
TOGO, 304
TONGA, 417
TRINIDAD AND TOBAGO, 516
TUNISIA, 323
TURKEY, 264
TURKMENISTAN, 161
TURKS AND CAICOS ISLANDS, 527
TUVALU, 420
UGANDA, 352
UKRAINE, 162
UNITED ARAB EMIRATES, 296
UNITED KINGDOM, 135
URUGUAY, 695
UZBEKISTAN, 163
VANUATU, 410
VENEZUELA, 696
VIETNAM, 266
WALLIS AND FUTUNA ISLANDS, 469
WEST INDIES (FRENCH), 757
WESTERN SAHARA, 333
WESTERN SAMOA, 465
YEMEN, 216
YUGOSLAVIA, 139
ZAIRE, 301
ZAMBIA, 344
ZIMBABWE, 315
INVALID: AMERICAN SAMOA, 403
INVALID: ANTARCTICA, 712
INVALID: BORN ON BOARD SHIP, 700
INVALID: BOUVET ISLAND (ANTARCTICA/NORWAY TERR.), 719
INVALID: CANADA, 574
INVALID: CANTON AND ENDERBURY ISLS, 720
INVALID: CZECHOSLOVAKIA, 106
INVALID: DRONNING MAUD LAND (ANTARCTICA-NORWAY), 739
INVALID: FRENCH SOUTHERN AND ANTARCTIC, 394
INVALID: GREENLAND, 501
INVALID: GUAM, 404
INVALID: INTERNATIONAL WATERS, 730
INVALID: JOHNSON ISLAND, 731
"INVALID: MARIANA ISLANDS, NORTHERN", 471
INVALID: MIDWAY ISLANDS, 737
INVALID: MINOR OUTLYING ISLANDS - USA, 753
INVALID: NEUTRAL ZONE (S. ARABIA/IRAQ), 740
INVALID: NON-QUOTA IMMIGRANT, 710
INVALID: PUERTO RICO, 505
INVALID: STATELESS, 0
INVALID: STATELESS, 705
INVALID: UNITED STATES, 583
INVALID: UNITED STATES, 407
INVALID: UNKNOWN, 999
INVALID: UNKNOWN COUNTRY, 239
INVALID: USSR, 134
INVALID: U.S. VIRGIN ISLANDS, 506
INVALID: WAKE ISLAND, 755
Collapsed Tanzania (should not show), 311
Collapsed Curacao (should not show), 741
No Country Code (54), 54
No Country Code (100), 100
No Country Code (187), 187
No Country Code (190), 190
No Country Code (200), 200
No Country Code (219), 219
No Country Code (238), 238
No Country Code (277), 277
No Country Code (293), 293
No Country Code (300), 300
No Country Code (319), 319
No Country Code (365), 365
No Country Code (395), 395
No Country Code (400), 400
No Country Code (485), 485
No Country Code (503), 503
No Country Code (589), 589
No Country Code (592), 592
No Country Code (791), 791
No Country Code (849), 849
No Country Code (914), 914
No Country Code (944), 944
No Country Code (996), 996